Provinsi dg Rata2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Upah/Gaji Bersih Sebulan Buruh/Karyawan/Pegawai Menurut Provinsi dan Jenis Pekerjaan Utama (Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tenaga Profesional, Teknisi dan yang Sejenis",,,Tenaga Kepemimpinan dan Ketatalaksanaan,,,Tenaga Tata Usaha dan yang Sejenis,,,Tenaga Usaha Penjualan,,,Tenaga Usaha Jasa,,,"Tenaga Usaha Pertanian, Kehutanan, Perburuan dan Perikanan",,,"Tenaga Produksi, Operator Alat-alat Angkutan dan Pekerja Kasar",,,Lainnya,,,Jumlah,,
,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,,2025,,
,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan
SULAWESI SELATAN,3332271,3836641,-,5719693,5754763,-,2967330,3101705,-,2353395,2496597,-,1970698,2174948,-,1900037,2257315,-,2628474,2701812,-,4881287,4080926,-,2956256,3060385,-
SULAWESI TENGGARA,3152627,3577563,-,4240814,6089645,-,2735835,3247905,-,2151695,2285592,-,2292006,2186770,-,2581124,2748946,-,2860996,2771282,-,4518524,4485128,-,2928215,3189724,-
GORONTALO,3064078,3650187,-,4985224,4697903,-,2466225,3057360,-,2340714,2155517,-,1189180,1436795,-,1815333,2923937,-,2182895,2303710,-,4203160,4725419,-,2506904,2911813,-
SULAWESI BARAT,3020618,2980227,-,5842685,4931245,-,2357733,2965862,-,1376120,1766544,-,1134565,2213329,-,1311169,2432337,-,2272755,2130144,-,4519791,4046062,-,2608578,2698528,-
MALUKU,3193234,3370977,-,3036062,5643951,-,2639484,3158995,-,2101285,2210624,-,2570983,2082634,-,2211988,2229491,-,2640471,2304622,-,4165311,4508560,-,2866807,3100805,-
MALUKU UTARA,3379277,3353375,-,3949297,4612560,-,3479465,4035543,-,2147046,2343610,-,2170703,2628662,-,2042276,2441986,-,4264454,3688822,-,4985061,5026145,-,3666126,3620219,-
PAPUA BARAT,3669680,4066093,-,5804642,9060158,-,3387503,3755490,-,2279172,2847544,-,2880735,2649057,-,1671564,2576491,-,2949553,3211057,-,4081211,4489457,-,3459119,3765973,-
PAPUA BARAT DAYA,3897439,3967185,-,4905804,8474589,-,3317559,3687763,-,2724881,3355240,-,2516103,2746077,-,2577214,2872880,-,3886898,3458941,-,5009306,4415089,-,3644386,3837947,-
PAPUA,4094145,4256588,-,5216689,8075411,-,3979126,4774183,-,3421435,3559370,-,3944531,3718081,-,2925093,3690224,-,3030340,3664250,-,5266423,5448601,-,3984589,4426645,-
PAPUA SELATAN,3660813,4650519,-,8968632,4758602,-,3435583,4351452,-,2625679,2765001,-,2837310,2525622,-,4331960,4484825,-,3437257,3547992,-,4378202,5325340,-,3865415,4264963,-
PAPUA TENGAH,3708528,4949162,-,9619051,9717622,-,3536623,4869214,-,1932238,2474011,-,2335188,5298878,-,3790124,2960534,-,6818963,5093486,-,3941038,6036563,-,4747826,4808336,-
PAPUA PEGUNUNGAN,4705276,4705900,-,3896726,6476063,-,4763585,4419012,-,2909457,2927434,-,2686040,-,-,1004088,1771650,-,3223286,4251209,-,4133578,4957101,-,4133474,3941546,-
RATA-RATA,3537693,3985878,-,5829431,6952124,-,3670434,4116144,-,2655030,2823865,-,2138537,2399758,-,2119471,2410526,-,2903333,3008792,-,3736206,4028054,-,3094818,3331012,-
